sms;label;split
"74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC
";1;test
"I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
";0;dev
"""Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
";0;test
"I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
";0;test
"Apps class varaya elaya.
";0;test
"Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
";0;test
"R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
";0;test
"Spoons it is then okay?
";0;test
"No calls..messages..missed calls
";0;test
"Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
";1;dev
"I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
";0;test
"You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
";1;test
"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.
";0;test
"I like to talk pa but am not able to. I dont know y.
";0;test
"Ok i vl..do u know i got adsense approved..
";0;dev
"They did't play one day last year know even though they have very good team.. Like india.
";0;test
"Yes:)here tv is always available in work place..
";0;test
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8
";0;test
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
";0;test
"But am going to college pa. What to do. are else ill come there it self. Pa.
";0;test
"Hey gals...U all wanna meet 4 dinner at nìte? 
";0;test
"Ok then i'll let him noe later n ask him call u tmr...
";0;test
"Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
";1;test
"how are you? I miss you!
";0;test
"Am in gobi arts college
";0;test
"THANX 4 PUTTIN DA FONE DOWN ON ME!!
";0;test
"I WILL CAL YOU SIR. In meeting
";0;test
"U wake up already? Thanx 4 e tau sar piah it's quite nice.
";0;dev
"IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 
";0;test
"5 nights...We nt staying at port step liao...Too ex
";0;test
"Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
";0;test
"""GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI""
";0;test
"No no. I will check all rooms befor activities
";0;test
"Oh, then your phone phoned me but it disconnected
";0;test
"Ball is moving a lot.will spin in last :)so very difficult to bat:)
";0;test
"Ok ill tell the company
";0;test
"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
";0;test
"Sitting ard nothing to do lor. U leh busy w work?
";0;test
"This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
";0;test
"Noice. Text me when you're here
";0;test
"Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
";0;test
"Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
";0;test
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
";1;test
"Hi Chikku, send some nice msgs
";0;test
"Sir, i am waiting for your call, once free please call me.
";0;test
"If you were/are free i can give. Otherwise nalla adi entey nattil kittum
";0;test
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... 
";0;test
"Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
";0;test
"Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
";0;test
"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
";0;dev
"Sitting in mu waiting for everyone to get out of my suite so I can take a shower
";0;test
"LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
";1;test
"Huh but i cant go 2 ur house empty handed right?
";0;test
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..
";0;test
"Oh yes, why is it like torture watching england?
";0;test
"Hey morning what you come to ask:-) pa...
";0;test
"Yes just finished watching days of our lives. I love it.
";0;test
"Detroit. The home of snow. Enjoy it.
";0;test
"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
";0;test
"I cant pick the phone right now. Pls send a message
";0;test
"Its sarcasm.. .nt scarcasim
";0;test
"Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
";1;test
"Yes i have. So that's why u texted. Pshew...missing you so much
";0;test
"Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
";0;test
"Dhoni have luck to win some big title.so we will win:)
";0;test
"You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
";0;test
"The new deus ex game comin early next yr
";0;dev
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
";0;test
"And pls pls drink plenty plenty water
";0;test
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.
";0;dev
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min
";0;test
"I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
";0;test
"WHO ARE YOU SEEING?
";0;test
"Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
";0;dev
"Tell me pa. How is pain de.
";0;test
"Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
";0;test
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng
";0;test
"No problem. How are you doing?
";0;test
"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.
";0;test
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*
";0;test
"Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
";0;test
"You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
";1;test
"Anything lor. Juz both of us lor.
";0;test
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.
";0;test
"watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
";0;test
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""
";1;dev
"Hope youre not having too much fun without me!! see u tomorrow love jess x
";0;test
"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921
";1;test
"I might go 2 sch. Yar at e salon now v boring.
";0;test
"In which place i can get rooms cheap:-)
";0;test
"K I'll call you when I'm close
";0;test
"Anytime lor...
";0;test
"Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
";1;test
"Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
";1;test
"Hey so whats the plan this sat? 
";0;test
"Sindu got job in birla soft ..
";0;test
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-
";0;test
"As in different styles?
";0;test
"Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
";0;test
"We'll join the  &lt;#&gt;  bus
";0;test
"How much would it cost to hire a hitman
";0;test
"Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
";0;test
"Does daddy have a bb now.
";0;test
"Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
";0;test
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
";1;test
"Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
";0;test
"I am not sure about night menu. . . I know only about noon menu
";0;test
"I dont. Can you send it to me. Plus how's mode.
";0;test
"Not much, just some textin'. How bout you?
";0;test
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again
";0;test
"Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
";0;test
"NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
";0;test
"Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
";0;test
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck
";0;test
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins
";1;dev
"Happy new years melody!
";0;test
"Don know. I did't msg him recently.
";0;test
"YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
";1;test
"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
";1;test
"And how you will do that, princess? :)
";0;test
"Neshanth..tel me who r u?
";0;test
"I gotta collect da car at 6 lei.
";0;test
"What should i eat fo lunch senor
";0;test
"Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. 
";0;test
"No rushing. I'm not working. I'm in school so if we rush we go hungry.
";0;test
"When you came to hostel.
";0;dev
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
";1;test
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
";1;test
"Where did u go? My phone is gonna die you have to stay in here
";0;test
"Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
";1;test
"* Will be september by then!
";0;test
"Babe ? I lost you ... Will you try rebooting ?
";0;test
"But i have to. I like to have love and arrange.
";0;test
"Old Orchard near univ. How about you?
";0;test
"Damn, can you make it tonight or do you want to just wait til tomorrow
";0;test
"No. To be nosy I guess. Idk am I over reacting if I'm freaked?
";0;test
"It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
";0;test
"accordingly. I repeat, just text the word ok on your mobile phone and send
";1;dev
"I ask if u meeting da ge tmr nite...
";0;test
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.
";0;test
"Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
";1;dev
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
";1;test
"Uh, heads up we don't have THAT much left
";0;test
"I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
";0;test
"No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
";1;test
"What Today-sunday..sunday is holiday..so no work..
";0;test
"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!
";0;test
"Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
";1;test
"What you doing?how are you?
";0;test
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL
";0;test
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).
";0;test
"All will come alive.better correct any good looking figure there itself..
";0;test
"Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
";0;test
"K, can I pick up another 8th when you're done?
";0;test
"I have lost 10 kilos as of today!
";0;test
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
";0;test
"Oh k:)after that placement there ah?
";0;test
"Ok that's great thanx a lot.
";0;test
"That seems unnecessarily affectionate
";0;test
"Dont think so. It turns off like randomlly within 5min of opening
";0;test
"Ü collecting ur laptop then going to configure da settings izzit?
";0;test
"How much did ur hdd casing cost.
";0;test
"I'm done...
";0;dev
"Sorry da thangam, very very sorry i am held up with prasad.
";0;test
"Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
";0;test
"No plm i will come da. On the way.
";0;dev
"Can i get your opinion on something first?
";0;test
"You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill
";1;test
"Din i tell u jus now 420
";0;test
"Ill be at yours in about 3 mins but look out for me
";0;test
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
";0;test
"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight
";0;test
"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm
";1;test
"U repeat e instructions again. Wat's e road name of ur house?
";0;test
"I am taking half day leave bec i am not well
";0;test
"Which channel:-):-):):-).
";0;test
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola
";0;test
"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p
";1;dev
"Go chase after her and run her over while she's crossing the street
";0;test
"I just got home babe, are you still awake ?
";0;test
"Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
";0;test
"LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
";1;test
"K k pa Had your lunch aha.
";0;test
"Yar... I tot u knew dis would happen long ago already.
";0;test
"Kothi print out marandratha.
";0;test
"I only haf msn. It's yijue@hotmail.com
";0;test
"Wat's da model num of ur phone?
";0;test
"Are you ok. What happen to behave like this
";0;test
"I.ll get there tomorrow and send it to you
";0;test
"Or I guess  &lt;#&gt;  min
";0;test
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL
";0;test
"My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
";0;test
"XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
";1;test
"What time you think you'll have it? Need to know when I should be near campus
";0;test
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message
";1;test
"This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
";1;dev
"I am on the way to ur home
";0;test
"okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
";1;test
"Designation is software developer and may be she get chennai:)
";0;test
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...
";0;test
"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011
";1;test
"But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
";0;test
"It's that time of the week again, ryan
";0;test
"K sure am in my relatives home. Sms me de. Pls:-)
";0;test
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else
";0;test
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...
";0;test
"I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
";0;test
"Have you laid your airtel line to rest?
";0;test
"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....
";0;test
"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up
";0;test
"Yes..but they said its IT.,
";0;test
"Well then you have a great weekend!
";0;test
"Cool, I'll text you in a few
";0;test
"Hey do you want anything to buy:)
";0;test
"My phone
";0;test
"Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
";0;test
"Finish liao... U?
";0;test
"Can. Dunno wat to get 4 her...
";0;test
"Total disappointment, when I texted you was the craziest shit got :(
";0;test
"Aight, sounds good. When do you want me to come down?
";0;test
"Hey you told your name to gautham ah?
";0;test
"Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
";0;test
"Can u get pic msgs to your phone?
";0;test
"Try neva mate!!
";0;test
"Dude how do you like the buff wind.
";0;test
"Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
";0;test
"Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
";0;test
"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; 
";0;test
"Awesome, think we can get an 8th at usf some time tonight?
";0;dev
"Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
";0;test
"I sent lanre fakeye's Eckankar details to the mail box
";0;test
"Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
";0;test
"Come to my home for one last time i wont do anything. Trust me.
";0;test
"Printer is cool. I mean groovy. Wine is groovying
";0;test
"URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
";1;test
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card
";0;test
"Gud mrng dear hav a nice day
";0;test
"* Am on a train back from northampton so i'm afraid not!
";0;test
"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance
";0;test
"Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
";0;test
"I have a rather prominent bite mark on my right cheek
";0;test
"Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
";1;dev
"En chikku nange bakra msg kalstiya..then had tea/coffee?
";0;test
"""Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry""
";0;test
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...
";0;test
"Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
";0;test
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm
";1;test
"Ok set let u noe e details later...
";0;test
"You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
";0;test
"thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
";1;test
"Dude got a haircut. Now its breezy up there
";0;test
"No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
";0;test
"Convey my regards to him
";0;test
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16
";1;test
"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""
";0;test
"Send his number and give reply tomorrow morning for why you said that to him like that ok
";0;test
"Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
";0;test
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.
";1;test
"I emailed yifeng my part oredi.. Can ü get it fr him..
";0;test
"Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
";1;test
"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
";1;dev
"Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
";1;test
"What * u wearing?
";0;test
"Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
";1;test
"A bloo bloo bloo I'll miss the first bowl
";0;test
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow
";1;dev
"Want to finally have lunch today?
";0;test
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!
";0;dev
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe
";0;test
"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
";1;test
"""HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!""
";0;test
"Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
";0;test
"Lol wtf random. Btw is that your lunch break
";0;test
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
";1;test
"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!
";1;test
"URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
";1;test
"Great! So what attracts you to the brothas?
";0;test
"S.i think he is waste for rr..
";0;test
"Are you the cutest girl in the world or what
";0;test
"K.:)you are the only girl waiting in reception ah?
";0;test
"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com
";0;test
"yeah, that's what I was thinking
";0;test
"You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
";0;test
"Then we wait 4 u lor... No need 2 feel bad lar...
";0;test
"Hey are we going for the lo lesson or gym? 
";0;test
"Not able to do anything.
";0;test
"K.i did't see you.:)k:)where are you now?
";0;test
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later
";0;test
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
";1;test
"XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
";1;test
"Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
";0;test
"Tmrw. Im finishing 9 doors
";0;test
"What not under standing.
";0;test
"Sorry. || mail? || 
";0;test
"I guess you could be as good an excuse as any, lol.
";0;test
